GSS_CODE,Year,Borough,weekly-rent,Number_of_Listings,Air_oo,population,percentage_of_qualifications_of_working_age_population,Median_income,Crime_Rate
E09000001,2015,City of London,124.46,118.0,,8000,80,61100.0,
E09000002,2015,Barking and Dagenham,127.03,7.0,113.66763912588759,203000,32.4,21800.0,81.9
E09000003,2015,Barnet,127.16,65.0,2086.1700058354404,382000,49.1,27100.0,61.9
E09000004,2015,Bexley,111.21,5.0,189.73655209697878,243000,33.6,24400.0,51.2
E09000005,2015,Brent,123.16,146.0,2624.5407272950483,326000,45.1,22700.0,78.3
E09000006,2015,Bromley,115.94,36.0,1242.6256659802275,325000,47,28100.0,63.6
E09000007,2015,Camden,132.35,1400.0,34026.913272867394,243000,61.1,33100.0,121.0
E09000008,2015,Croydon,123.11,63.0,1493.7215216700224,381000,40.6,25100.0,76.6
E09000009,2015,Ealing,126.27,192.0,5302.4353742546145,346000,49.7,24600.0,75.8
E09000010,2015,Enfield,125.54,43.0,1226.580226904376,330000,43.6,25300.0,68.7
E09000011,2015,Greenwich,116.24,103.0,1636.5441906653427,274000,42.3,24600.0,78.2
E09000012,2015,Hackney,120.24,2225.0,30583.467627263246,269000,49.2,26000.0,97.7
E09000013,2015,Hammersmith and Fulham,128.17,1039.0,22784.27306422587,181000,67.4,30100.0,113.6
E09000014,2015,Haringey,118.77,222.0,4168.740082811459,272000,49.3,25800.0,89.0
E09000015,2015,Harrow,130.62,15.0,492.5912458524612,249000,47.9,26100.0,50.1
E09000016,2015,Havering,118.4,,,249000,26,24900.0,62.4
E09000017,2015,Hillingdon,123.78,28.0,714.9471085047279,299000,40.2,25300.0,75.2
E09000018,2015,Hounslow,123.24,70.0,1714.605142799065,271000,45.4,24700.0,78.4
E09000019,2015,Islington,124.59,1695.0,28233.65716451555,227000,62.7,31000.0,118.6
E09000020,2015,Kensington and Chelsea,123.35,1547.0,34718.12794408145,157000,65.3,38700.0,120.6
E09000021,2015,Kingston upon Thames,129.32,38.0,1240.0206417144764,174000,53.6,29100.0,57.5
E09000022,2015,Lambeth,116.9,1417.0,28581.259454809715,324000,65,27300.0,103.8
E09000023,2015,Lewisham,109.18,614.0,9967.696744952616,297000,53.3,24900.0,75.7
E09000024,2015,Merton,113.38,113.0,3364.648404268248,206000,58,27600.0,59.8
E09000025,2015,Newham,134.52,197.0,3358.373922817534,334000,43.3,20200.0,89.4
E09000026,2015,Redbridge,129.59,30.0,814.4849408180006,299000,44.7,25700.0,68.7
E09000027,2015,Richmond upon Thames,119.1,97.0,3367.249221929614,197000,69.6,35800.0,55.7
E09000028,2015,Southwark,120.96,1128.0,14630.120188339608,309000,56.9,27700.0,99.6
E09000029,2015,Sutton,118.96,,,201000,42.5,25900.0,55.4
E09000030,2015,Tower Hamlets,122.78,2209.0,24929.783845278725,295000,45.8,26600.0,96.3
E09000031,2015,Waltham Forest,120.6,79.0,1427.1376957045363,272000,42.6,22700.0,77.5
E09000032,2015,Wandsworth,127.45,960.0,18885.42868964917,317000,66.3,32900.0,72.3
E09000033,2015,Westminster,127.97,2412.0,37071.622620818,241000,63.2,35100.0,206.9
E09000001,2016,City of London,126.67,306.0,,9000,87.6,60000.0,
E09000002,2016,Barking and Dagenham,128.51,76.0,1234.1057962239224,207000,33.2,22100.0,86.5
E09000003,2016,Barnet,132.13,702.0,22530.636063022757,388000,55.9,27700.0,65.8
E09000004,2016,Bexley,112.89,74.0,2808.100971035286,245000,36.6,24500.0,52.2
E09000005,2016,Brent,136.19,1123.0,20187.392032550266,331000,44.9,23200.0,80.6
E09000006,2016,Bromley,118.13,282.0,9733.901050178449,329000,48.8,29800.0,65.1
E09000007,2016,Camden,134.18,3129.0,76050.15116485862,249000,58.8,34400.0,125.2
E09000008,2016,Croydon,125.93,386.0,9152.008053406804,386000,48.1,26300.0,76.4
E09000009,2016,Ealing,132.57,720.0,19884.132653454806,349000,56.2,24900.0,78.8
E09000010,2016,Enfield,128.84,235.0,6703.403565640195,334000,41.3,25100.0,69.9
E09000011,2016,Greenwich,119.42,663.0,10534.260178748758,278000,45.7,25600.0,79.9
E09000012,2016,Hackney,123.55,3894.0,53524.5046923879,274000,54.9,27800.0,101.1
E09000013,2016,Hammersmith and Fulham,130.66,2281.0,50020.14134696747,182000,61.6,32000.0,114.3
E09000014,2016,Haringey,123.05,1225.0,23003.182889387554,276000,52.4,25600.0,95.4
E09000015,2016,Harrow,137.39,166.0,5451.343120767237,252000,44.7,26300.0,53.3
E09000016,2016,Havering,120.08,70.0,2656.119816500868,252000,27.8,26000.0,67.7
E09000017,2016,Hillingdon,126.37,157.0,4008.8105726872245,304000,44.7,25900.0,73.8
E09000018,2016,Hounslow,126.84,496.0,12149.202154690518,275000,50,25000.0,81.6
E09000019,2016,Islington,127.4,2952.0,49171.53743342177,232000,58.1,31100.0,123.6
E09000020,2016,Kensington and Chelsea,126.69,2877.0,64566.29223989807,158000,62.4,37500.0,124.7
E09000021,2016,Kingston upon Thames,132.81,234.0,7635.916583189144,177000,53.7,30300.0,58.5
E09000022,2016,Lambeth,119.46,2706.0,54580.72553614332,328000,64.4,28400.0,107.9
E09000023,2016,Lewisham,111.79,1118.0,18149.649773382775,302000,51.1,25800.0,83.1
E09000024,2016,Merton,116.11,637.0,18967.088792202427,209000,60.5,28500.0,63.2
E09000025,2016,Newham,141.18,930.0,15854.25252903709,341000,48,22100.0,90.4
E09000026,2016,Redbridge,132.16,239.0,6488.7300285167385,304000,48.6,26400.0,66.2
E09000027,2016,Richmond upon Thames,123.25,698.0,24230.30883409145,200000,71.6,35500.0,55.1
E09000028,2016,Southwark,123.58,2693.0,34928.11495319022,315000,59.6,27100.0,101.7
E09000029,2016,Sutton,119.89,108.0,3875.75795074867,203000,44.3,27400.0,54.7
E09000030,2016,Tower Hamlets,126.31,4409.0,49757.99772468715,304000,52.5,28900.0,97.4
E09000031,2016,Waltham Forest,122.91,640.0,11561.621838619028,276000,45.6,23900.0,80.4
E09000032,2016,Wandsworth,134.56,2108.0,41469.2538310213,321000,70.6,34200.0,74.1
E09000033,2016,Westminster,141.51,4244.0,65228.841792185565,246000,62.1,37800.0,203.1
E09000001,2017,City of London,126.93,306.0,,9000,87.2,57300.0,
E09000002,2017,Barking and Dagenham,128.74,141.0,2289.591016678593,211000,30.7,23300.0,70.9
E09000003,2017,Barnet,130.39,1012.0,32480.06224469947,395000,53.8,28800.0,55.8
E09000004,2017,Bexley,112.67,115.0,4363.940698230512,248000,37.1,26100.0,45.6
E09000005,2017,Brent,133.96,1609.0,28923.87691929954,335000,39.6,24100.0,70.8
E09000006,2017,Bromley,116.92,391.0,13496.295427729692,333000,46.9,30400.0,52.7
E09000007,2017,Camden,135.57,3761.0,91410.87201375305,253000,59.9,35500.0,103.1
E09000008,2017,Croydon,124.37,552.0,13087.845713680195,390000,47.2,25600.0,67.4
E09000009,2017,Ealing,132.16,1003.0,27699.701460298846,352000,49.4,26100.0,69.0
E09000010,2017,Enfield,125.36,301.0,8586.061588330633,339000,36.1,25400.0,58.5
E09000011,2017,Greenwich,118.07,915.0,14538.232373386296,283000,53.5,26000.0,71.6
E09000012,2017,Hackney,122.84,4688.0,64438.33538724049,278000,59.3,28000.0,91.2
E09000013,2017,Hammersmith and Fulham,130.06,2806.0,61532.88760174956,183000,65.6,32300.0,98.1
E09000014,2017,Haringey,120.67,1493.0,28035.715962331116,280000,54,25100.0,85.8
E09000015,2017,Harrow,134.13,266.0,8735.284759783646,255000,48.8,27300.0,45.5
E09000016,2017,Havering,120.93,99.0,3756.5123119083705,255000,30,26100.0,58.1
E09000017,2017,Hillingdon,126.02,277.0,7072.869609136058,309000,43.2,26200.0,63.5
E09000018,2017,Hounslow,125.32,646.0,15823.356032117086,279000,44.7,26100.0,71.3
E09000019,2017,Islington,126.78,3583.0,59682.12013006443,236000,61.7,32900.0,99.9
E09000020,2017,Kensington and Chelsea,125.92,3476.0,78009.18728741248,159000,64.2,39500.0,109.8
E09000021,2017,Kingston upon Thames,131.2,316.0,10311.750599520383,180000,56.4,30200.0,49.6
E09000022,2017,Lambeth,118.65,3275.0,66057.60389167383,332000,67.2,29200.0,90.8
E09000023,2017,Lewisham,110.48,1502.0,24383.5187474248,306000,54,26700.0,68.4
E09000024,2017,Merton,115.12,820.0,24416.03266814127,211000,56.8,29500.0,53.5
E09000025,2017,Newham,139.87,1151.0,19621.76845260397,347000,41.5,22500.0,77.1
E09000026,2017,Redbridge,131.33,382.0,10371.108246415875,309000,47.4,27400.0,56.7
E09000027,2017,Richmond upon Thames,122.82,869.0,30166.38735934881,203000,64.9,36600.0,49.9
E09000028,2017,Southwark,122.47,3359.0,43566.111447369454,319000,63,29400.0,87.9
E09000029,2017,Sutton,119.7,147.0,5275.337210741245,206000,51.4,27300.0,45.0
E09000030,2017,Tower Hamlets,125.85,5611.0,63323.230944254836,312000,47.3,30500.0,85.3
E09000031,2017,Waltham Forest,122.04,911.0,16457.24608590927,279000,43.9,24500.0,64.9
E09000032,2017,Wandsworth,131.24,2744.0,53980.85033791387,324000,71.3,35000.0,65.8
E09000033,2017,Westminster,130.12,5360.0,82381.38360181778,250000,62.3,36100.0,171.3
E09000001,2018,City of London,126.83,414.0,,9000,100,60000.0,
E09000002,2018,Barking and Dagenham,118.51,177.0,2874.167446468872,215000,33,23900.0,
E09000003,2018,Barnet,127.68,1282.0,41145.69149970822,401000,51.5,28700.0,
E09000004,2018,Bexley,110.75,184.0,6982.305117168819,251000,42,26900.0,
E09000005,2018,Brent,125.6,2027.0,36437.972974157965,339000,40.3,24700.0,
E09000006,2018,Bromley,115.72,521.0,17983.554777102738,337000,49.6,32000.0,
E09000007,2018,Camden,133.52,4815.0,117028.27672061177,258000,64.3,37300.0,
E09000008,2018,Croydon,123.39,813.0,19276.12058917029,395000,47.6,27500.0,
E09000009,2018,Ealing,126.92,1389.0,38359.80591062323,355000,53.6,26700.0,
E09000010,2018,Enfield,122.2,485.0,13834.683954619124,344000,40.8,26300.0,
E09000011,2018,Greenwich,119.25,1317.0,20925.521350546176,287000,51.5,27600.0,
E09000012,2018,Hackney,120.01,5602.0,77001.61152715897,283000,53.4,29400.0,
E09000013,2018,Hammersmith and Fulham,128.68,3591.0,78747.18438270943,185000,63.1,33200.0,
E09000014,2018,Haringey,118.09,1868.0,35077.50664275588,283000,53.7,27100.0,
E09000015,2018,Harrow,130.91,390.0,12807.372392163992,258000,46.3,27600.0,
E09000016,2018,Havering,118.09,144.0,5464.017908230357,258000,30,27900.0,
E09000017,2018,Hillingdon,124.13,419.0,10698.672802267178,314000,43.2,27100.0,
E09000018,2018,Hounslow,124.35,839.0,20550.767354405936,283000,54.5,26400.0,
E09000019,2018,Islington,124.99,4349.0,72441.40118494285,240000,67.1,33400.0,
E09000020,2018,Kensington and Chelsea,126.92,4919.0,110393.32343693383,159000,62,40400.0,
E09000021,2018,Kingston upon Thames,130.61,437.0,14260.237379716478,183000,60.1,32400.0,
E09000022,2018,Lambeth,117.78,4167.0,84049.47646308545,336000,61.7,29900.0,
E09000023,2018,Lewisham,109.91,1934.0,31396.621343222083,310000,58.7,27300.0,
E09000024,2018,Merton,113.69,1114.0,33170.07364915778,214000,53.2,30200.0,
E09000025,2018,Newham,119.38,1670.0,28469.464218808538,353000,48.8,24100.0,
E09000026,2018,Redbridge,124.73,519.0,14090.589476151412,314000,46.2,28000.0,
