New Code,Area,weekly-rent,year
E09000001,City of London,115.56,2014
E09000002,Barking and Dagenham,120.92,2014
E09000003,Barnet,123.29,2014
E09000004,Bexley,106.35,2014
E09000005,Brent,118.15,2014
E09000006,Bromley,111.69,2014
E09000007,Camden,127.14,2014
E09000008,Croydon,118.44,2014
E09000009,Ealing,120.94,2014
E09000010,Enfield,120.11,2014
E09000011,Greenwich,111.15,2014
E09000012,Hackney,115.58,2014
E09000013,Hammersmith and Fulham,121.13,2014
E09000014,Haringey,113.88,2014
E09000015,Harrow,125.88,2014
E09000016,Havering,110.47,2014
E09000017,Hillingdon,119.76,2014
E09000018,Hounslow,118.07,2014
E09000019,Islington,118.80,2014
E09000020,Kensington and Chelsea,118.05,2014
E09000021,Kingston upon Thames,124.45,2014
E09000022,Lambeth,111.51,2014
E09000023,Lewisham,103.94,2014
E09000024,Merton,109.76,2014
E09000025,Newham,128.89,2014
E09000026,Redbridge,124.95,2014
E09000027,Richmond upon Thames,114.08,2014
E09000028,Southwark,116.32,2014
E09000029,Sutton,114.68,2014
E09000030,Tower Hamlets,115.73,2014
E09000031,Waltham Forest,117.86,2014
E09000032,Wandsworth,121.88,2014
E09000033,Westminster,122.03,2014
E09000001,City of London,124.46,2015
E09000002,Barking and Dagenham,127.03,2015
E09000003,Barnet,127.16,2015
E09000004,Bexley,111.21,2015
E09000005,Brent,123.16,2015
E09000006,Bromley,115.94,2015
E09000007,Camden,132.35,2015
E09000008,Croydon,123.11,2015
E09000009,Ealing,126.27,2015
E09000010,Enfield,125.54,2015
E09000011,Greenwich,116.24,2015
E09000012,Hackney,120.24,2015
E09000013,Hammersmith and Fulham,128.17,2015
E09000014,Haringey,118.77,2015
E09000015,Harrow,130.62,2015
E09000016,Havering,118.40,2015
E09000017,Hillingdon,123.78,2015
E09000018,Hounslow,123.24,2015
E09000019,Islington,124.59,2015
E09000020,Kensington and Chelsea,123.35,2015
E09000021,Kingston upon Thames,129.32,2015
E09000022,Lambeth,116.90,2015
E09000023,Lewisham,109.18,2015
E09000024,Merton,113.38,2015
E09000025,Newham,134.52,2015
E09000026,Redbridge,129.59,2015
E09000027,Richmond upon Thames,119.10,2015
E09000028,Southwark,120.96,2015
E09000029,Sutton,118.96,2015
E09000030,Tower Hamlets,122.78,2015
E09000031,Waltham Forest,120.60,2015
E09000032,Wandsworth,127.45,2015
E09000033,Westminster,127.97,2015
E09000001,City of London,126.67,2016
E09000002,Barking and Dagenham,128.51,2016
E09000003,Barnet,132.13,2016
E09000004,Bexley,112.89,2016
E09000005,Brent,136.19,2016
E09000006,Bromley,118.13,2016
E09000007,Camden,134.18,2016
E09000008,Croydon,125.93,2016
E09000009,Ealing,132.57,2016
E09000010,Enfield,128.84,2016
E09000011,Greenwich,119.42,2016
E09000012,Hackney,123.55,2016
E09000013,Hammersmith and Fulham,130.66,2016
E09000014,Haringey,123.05,2016
E09000015,Harrow,137.39,2016
E09000016,Havering,120.08,2016
E09000017,Hillingdon,126.37,2016
E09000018,Hounslow,126.84,2016
E09000019,Islington,127.40,2016
E09000020,Kensington and Chelsea,126.69,2016
E09000021,Kingston upon Thames,132.81,2016
E09000022,Lambeth,119.46,2016
E09000023,Lewisham,111.79,2016
E09000024,Merton,116.11,2016
